- [ ] https://job-boards.greenhouse.io/twilio/jobs/7819432 | Twilio | Director, GTM Business Architecture | found via greenhouse-api-twilio 2026-04-20
- [ ] https://job-boards.greenhouse.io/celonis/jobs/7686200003?gh_jid=7686200003 | Celonis | Senior Consultant - Public Sector | found via greenhouse-api-celonis 2026-04-20
- [ ] https://job-boards.greenhouse.io/celonis/jobs/7672261003?gh_jid=7672261003 | Celonis | Senior Solutions Architect | found via greenhouse-api-celonis 2026-04-20
- [ ] https://job-boards.greenhouse.io/celonis/jobs/7662611003?gh_jid=7662611003 | Celonis | Senior Value Engineer - Public Sector | found via greenhouse-api-celonis 2026-04-20
- [ ] https://job-boards.greenhouse.io/celonis/jobs/7688214003?gh_jid=7688214003 | Celonis | Senior Value Engineer (Public Sector) - Sacramento, CA | found via greenhouse-api-celonis 2026-04-20
- [ ] https://job-boards.greenhouse.io/airtable/jobs/8451713002 | Airtable | Associate Program Manager, Digital Programs (Contractor) | found via greenhouse-api-airtable 2026-04-20
- [ ] https://job-boards.greenhouse.io/airtable/jobs/8503811002 | Airtable | Performance Marketing Specialist Contractor | found via greenhouse-api-airtable 2026-04-20
- [ ] https://job-boards.greenhouse.io/airtable/jobs/8382158002 | Airtable | Program Manager, AI Programs | found via greenhouse-api-airtable 2026-04-20
- [ ] https://job-boards.greenhouse.io/airtable/jobs/8461582002 | Airtable | Senior Partner Solutions Architect | found via greenhouse-api-airtable 2026-04-20
- [ ] https://job-boards.greenhouse.io/airtable/jobs/8487502002 | Airtable | Senior Solutions Architect | found via greenhouse-api-airtable 2026-04-20
- [ ] https://job-boards.greenhouse.io/nttdatausa/jobs/8506762002 | NTT DATA (Americas) | IT Solutions Architects | found via greenhouse-api-nttdatausa 2026-04-20
- [ ] https://jobs.ashbyhq.com/nerdwallet/0bb0c344-547c-4eee-81dd-ad6af5314732 | NerdWallet | Director, Product Management (Data) | found via ashby-api-nerdwallet 2026-04-20
- [ ] https://jobs.ashbyhq.com/deel/1d6939eb-93c8-49b4-821c-4b92b6941ab6 | Deel | Associate Strategic Corporate Development Director | found via ashby-api-deel 2026-04-20
- [ ] https://jobs.ashbyhq.com/deel/c5c0329f-040e-400e-908f-b7c3c20fd84f | Deel | Associate Director, Sales Operations | found via ashby-api-deel 2026-04-20
- [ ] https://jobs.ashbyhq.com/deel/7b91a358-7393-4cfa-b594-c5d2aa4c2a53 | Deel | People M&A Director | found via ashby-api-deel 2026-04-20
- [ ] https://www.dice.com/job-detail/b5ae47d3-5fd3-438a-a49b-c521b66d6622?utm_source=claude-user&utm_medium=mcp | EPAM Systems | AWS Partnership CTO | found via dice-mcp-cto 2026-04-20
- [ ] https://www.dice.com/job-detail/e1b5649d-713a-4432-9259-4c6882920c81?utm_source=claude-user&utm_medium=mcp | Algo Soft Solutions LLC | FULL TIME: CTO/Infrastructure/AWS/Banking - Hybrid/NYC - Peoples Bank | found via dice-mcp-cto 2026-04-20
- [ ] https://www.dice.com/job-detail/616d3861-c98e-4346-920b-1f111dc69248?utm_source=claude-user&utm_medium=mcp | State Street Corporation | CRD CTO, EVP | found via dice-mcp-cto 2026-04-20
- [ ] https://job-boards.greenhouse.io/postman/jobs/7389443003 | Postman | Field CTO | found via websearch-greenhouse-cto-vp-technology 2026-04-20
- [ ] https://boards.greenhouse.io/incubator/jobs/5427429 | Quekto AI (AI2 Incubator) | Co-founder & Chief Technology Officer | found via websearch-greenhouse-cto-vp-technology 2026-04-20
- [ ] https://jobs.lever.co/jobgether/cd97294f-48d1-40bb-abae-f3d9dbd604e2 | Jobgether | Chief Technology Officer (K-12 SaaS) | found via websearch-lever-cto-vp-technology-head-of-engineering 2026-04-20
- [ ] https://jobs.lever.co/liatrio/cb88b721-410c-4219-b8a3-43c9ef12a1bc | Liatrio | Principal Application Modernization Architect | found via websearch-lever-cto-vp-technology-head-of-engineering 2026-04-20
- [ ] https://jobs.lever.co/insiderone/49f7e3c9-2a0e-4f45-99bd-1af880b7615b | Insider One | AI Transformation Lead | found via websearch-lever-ai-leadership 2026-04-20
- [ ] https://jobs.ashbyhq.com/develop-health/d37bf5d6-5e3b-4388-ab03-9603e3db1041 | Develop Health | Head of AI | found via websearch-ashby-ai-leadership-exec 2026-04-20
- [ ] https://jobs.ashbyhq.com/harvey/2d8786d9-b757-41e3-b23a-d45fec038a57 | Harvey | Director of Platform Engineering | found via websearch-ashby-cto-vp-technology 2026-04-20
- [ ] https://jobs.ashbyhq.com/workshop-ventures/f72fe4f7-a25b-42a9-a3a2-6773815631aa | Workshop Venture Partners (WorkHero) | Head of Engineering | found via websearch-ashby-cto-vp-technology 2026-04-20
- [ ] https://job-boards.greenhouse.io/sureify/jobs/5190968008 | Sureify | VP of Engineering | found via websearch-greenhouse-vp-engineering-director-engineering 2026-04-20
- [ ] https://boards.greenhouse.io/embed/job_app?token=7601994003 | Pleo | Director of Engineering | found via websearch-greenhouse-vp-engineering-director-engineering 2026-04-20
- [ ] https://job-boards.greenhouse.io/digible/jobs/5766191004 | Digible | Director of Data | found via websearch-greenhouse-chief-data-officer-vp-data 2026-04-20
- [ ] https://boards.greenhouse.io/dbtlabsinc/jobs/4300257005 | dbt Labs | Director, Data | found via websearch-greenhouse-chief-data-officer-vp-data 2026-04-20
- [ ] https://boards.greenhouse.io/digitaloceancitesremotes/jobs/3934331 | DigitalOcean | VP, Data & Analytics | found via websearch-greenhouse-chief-data-officer-vp-data 2026-04-20
- [ ] https://jobs.lever.co/jobgether/df51c575-3d28-402b-845c-275da732de01 | Jobgether | Director / VP of Engineering | found via websearch-cross-portal-engineering-leadership 2026-04-20
- [ ] https://jobs.ashbyhq.com/maximustribe/a9891e02-673e-458e-9cbc-6d6ba730c0ed | MaximusTribe | Sr Director, Data Engineering and Analytics | found via websearch-cross-portal-data-exec 2026-04-20
- [ ] https://boards.greenhouse.io/checkr/jobs/5514546 | Checkr | VP, Data | found via websearch-cross-portal-data-exec 2026-04-20
